date,amount,category,description
2024-10-15 10:30:00,15.75,Food,Lunch at cafe
2024-10-16 08:45:00,2.5,Transport,Bus fare to work
2024-10-16 18:20:00,45.0,Entertainment,Movie night
2024-10-17 13:15:00,120.0,Bills,Electricity bill
2024-10-18 09:00:00,25.0,Food,Grocery shopping
2024-10-19 11:45:00,12.0,Transport,Taxi fare
2024-10-19 17:30:00,60.0,Entertainment,Concert ticket
2024-10-20 14:00:00,80.0,Bills,Internet subscription
2024-10-21 07:45:00,5.5,Food,Morning coffee
2024-10-21 19:00:00,8.25,Food,Dinner takeaway
2024-10-22 08:00:00,1.5,Transport,Subway fare
2024-10-22 12:00:00,35.0,Others,Gift for friend
